user_id,dealer,action_type,time_stamp,item_name,item_price,coupon_code,dist_channel
222703757,other,purchase,2013-10-01,Dashboard,344,,"Dist Partners"
221533379,Amazon.com,purchase,2013-10-01,"Status Indicator Sm",203,,Retail
224521309,other,purchase,2013-10-01,Dashboard,344,,"Dist Partners"
221830907,Amazon.com,purchase,2013-10-01,"Status Indicator Sm",203,,Retail
222717925,"Best Buy",purchase,2013-10-01,"Status Indicator Lg",397,,Retail
221830907,Amazon.com,purchase,2013-10-01,"Status Indicator Sm",203,,Retail
219896469,Amazon.com,purchase,2013-10-01,"Status Indicator Sm",203,,Retail
223717275,other,purchase,2013-10-01,"Status Indicator Lg",397,,Other
223234045,Amazon.com,purchase,2013-10-01,"Status Indicator Sm",203,,Retail
222745249,"Best Buy",purchase,2013-10-01,"Status Indicator Md",295,,Retail
223278067,Target,purchase,2013-10-01,"Status Indicator Lg",397,,Retail
222889965,Amazon.com,purchase,2013-10-01,"Status Indicator Sm",203,,Retail
219896469,Amazon.com,purchase,2013-10-01,"Status Indicator Sm",203,,Retail
222635447,online,purchase,2013-10-01,"Status Indicator Md",295,,Online
222995719,Amazon.com,purchase,2013-10-01,"Status Indicator Sm",203,,Retail
222637977,other,purchase,2013-10-01,"Launch Button",699,,Online
222617231,other,purchase,2013-10-01,"Status Indicator Lg",397,,"Dist Partners"
219662191,Amazon.com,purchase,2013-10-01,"Status Indicator Sm",203,,Retail
223471865,"Best Buy",purchase,2013-10-01,"Status Indicator Md",295,,Retail
221234839,other,purchase,2013-10-01,"Status Indicator Lg",397,,"Dist Partners"
222848473,"Best Buy",purchase,2013-10-02,"Status Indicator Md",295,,Retail
222976491,Cambridge,purchase,2013-10-02,"Launch Button",699,,Retail
222385483,other,purchase,2013-10-02,Dashboard,344,,"Dist Partners"
219793751,"Distrib C",purchase,2013-10-02,"Launch Button",699,,Retail
222848473,Cambridge,purchase,2013-10-02,Alarm,699,,Retail
222889965,Amazon.com,purchase,2013-10-02,"Status Indicator Sm",203,,Retail
224288549,"Best Buy",purchase,2013-10-02,"Status Indicator Md",295,,Retail
225392641,"Best Buy",purchase,2013-10-02,"Status Indicator Md",295,,Retail
223375725,"Distrib B",purchase,2013-10-02,"Status Indicator Md",295,,"Dist Partners"
222845437,Amazon.com,purchase,2013-10-02,"Status Indicator Sm",203,,Retail
223503743,Cambridge,purchase,2013-10-02,"Launch Button",699,,Retail
222947143,"Distrib C",purchase,2013-10-02,"Dashboard + Monitor",502,,Retail
222889965,Amazon.com,purchase,2013-10-02,"Status Indicator Sm",203,,Retail
225392641,"Best Buy",purchase,2013-10-02,"Status Indicator Md",295,,Retail
223489069,online,purchase,2013-10-03,"Launch Button",699,,"Dist Partners"
224611883,online,purchase,2013-10-03,"Status Indicator Md",295,,"Dist Partners"
223615063,other,purchase,2013-10-03,"Launch Button",699,,"Dist Partners"
225392641,Cambridge,purchase,2013-10-03,Alarm,699,,Retail
218786811,"Flagship Stores",purchase,2013-10-03,"Status Indicator Lg",397,,"Holographic Commerce"
223752189,online,purchase,2013-10-03,Dashboard,344,,"Dist Partners"
222821149,online,purchase,2013-10-03,"Launch Button",699,,"Dist Partners"
222899073,other,purchase,2013-10-03,"Status Indicator Md",295,,Other
220916059,other,purchase,2013-10-03,"Dashboard + Monitor",502,,"Dist Partners"
222873773,online,purchase,2013-10-03,"Status Indicator Md",295,,"Dist Partners"
222925891,online,purchase,2013-10-03,Dashboard,344,,"Dist Partners"
221082027,other,purchase,2013-10-03,"Status Indicator Sm",203,,"Dist Partners"
222692625,other,purchase,2013-10-03,"Status Indicator Md",295,,"Dist Partners"
223011911,online,purchase,2013-10-03,"Status Indicator Lg",397,,"Dist Partners"
221082027,other,purchase,2013-10-03,"Status Indicator Sm",203,,"Dist Partners"
222785223,online,purchase,2013-10-03,"Launch Button",699,,"Dist Partners"
219398565,online,purchase,2013-10-03,"Status Indicator Md",295,,"Dist Partners"
222584847,other,purchase,2013-10-03,"Status Indicator Sm",203,,"Dist Partners"
223075161,"Distrib A",purchase,2013-10-03,Alarm,699,,"Dist Partners"
225395171,"Flagship Stores",purchase,2013-10-03,Dashboard,344,,"Holographic Commerce"
222781175,"Distrib A",purchase,2013-10-03,Alarm,699,,"Dist Partners"
222714889,"Distrib A",purchase,2013-10-03,"Status Indicator Md",295,,"Dist Partners"
222456323,other,purchase,2013-10-03,Dashboard,344,,"Dist Partners"
219529113,other,purchase,2013-10-03,"Status Indicator Sm",203,,"Dist Partners"
221837485,online,purchase,2013-10-03,"Status Indicator Md",295,,"Dist Partners"
222584847,other,purchase,2013-10-03,"Status Indicator Sm",203,,"Dist Partners"
224611883,online,purchase,2013-10-03,"Status Indicator Md",295,,"Dist Partners"
223143471,online,purchase,2013-10-03,"Status Indicator Lg",397,,"Dist Partners"
222858593,"Computer Discounter",purchase,2013-10-04,"Dashboard + Monitor",502,,"Dist Partners"
222149181,"Computer Discounter",purchase,2013-10-04,Dashboard,344,,"Dist Partners"
223687927,"Flagship Stores",purchase,2013-10-04,"Launch Button",699,,"Holographic Commerce"
223038223,other,purchase,2013-10-04,"Status Indicator Md",295,,Retail
222711853,Amazon.com,purchase,2013-10-04,"Status Indicator Sm",203,,Retail
222618749,other,purchase,2013-10-04,"Dashboard + Monitor",502,,"Dist Partners"
223343847,"Computer Discounter",purchase,2013-10-04,"Status Indicator Md",295,,"Dist Partners"
223105015,"Computer Discounter",purchase,2013-10-04,"Status Indicator Md",295,,"Dist Partners"
222436589,Amazon.com,purchase,2013-10-04,"Status Indicator Sm",203,,Retail
222858593,"Computer Discounter",purchase,2013-10-04,"Dashboard + Monitor",502,,"Dist Partners"
221646723,Amazon.com,purchase,2013-10-04,"Status Indicator Sm",203,,Retail
222409265,other,purchase,2013-10-04,Dashboard,344,,"Dist Partners"
223956613,Southern,purchase,2013-10-04,"Status Indicator Md",295,,Retail
222855051,"Computer Discounter",purchase,2013-10-04,"Status Indicator Lg",397,,"Dist Partners"
222853027,other,purchase,2013-10-04,"Status Indicator Sm",203,,Other
222618749,other,purchase,2013-10-04,"Dashboard + Monitor",502,,"Dist Partners"
222613689,Amazon.com,purchase,2013-10-04,"Status Indicator Sm",203,,Retail
223228985,Southern,purchase,2013-10-04,Dashboard,344,,Retail
218964923,"Computer Discounter",purchase,2013-10-04,"Dashboard + Monitor",502,,"Dist Partners"
221016247,"Computer Discounter",purchase,2013-10-04,"Status Indicator Lg",397,,"Dist Partners"
223695517,"Computer Discounter",purchase,2013-10-04,"Status Indicator Md",295,,"Dist Partners"
219283703,other,purchase,2013-10-04,"Status Indicator Lg",397,,"Dist Partners"
222480611,other,purchase,2013-10-04,Dashboard,344,,"Dist Partners"
222855051,"Computer Discounter",purchase,2013-10-04,"Status Indicator Lg",397,,"Dist Partners"
222618749,other,purchase,2013-10-04,"Dashboard + Monitor",502,,"Dist Partners"
222618749,other,purchase,2013-10-04,"Dashboard + Monitor",502,,"Dist Partners"
222711853,Amazon.com,purchase,2013-10-04,"Status Indicator Sm",203,,Retail
222944613,other,purchase,2013-10-04,"Status Indicator Lg",397,,Retail
222685035,other,purchase,2013-10-07,Dashboard,344,,"Dist Partners"
222772067,Amazon.com,purchase,2013-10-07,"Launch Button",699,,Retail
223029621,other,purchase,2013-10-07,"Status Indicator Sm",203,,Retail
222379411,DSG,purchase,2013-10-07,"Status Indicator Lg",397,,Retail
223236069,DSG,purchase,2013-10-07,"Status Indicator Lg",397,,Retail
223029621,other,purchase,2013-10-07,"Status Indicator Sm",203,,Retail
222631905,"online partner",purchase,2013-10-07,"Status Indicator Md",295,,Online
223426831,DSG,purchase,2013-10-07,"Status Indicator Md",295,,Retail
222765489,DSG,purchase,2013-10-07,"Status Indicator Md",295,,Retail
222783199,Cambridge,purchase,2013-10-07,Alarm,699,,Retail
221658361,"Distrib A",purchase,2013-10-07,"Status Indicator Md",295,,"Dist Partners"
223023043,"Distrib A",purchase,2013-10-07,"Status Indicator Md",295,,"Dist Partners"
222778139,Amazon.com,purchase,2013-10-07,"Status Indicator Md",295,,Retail
221654819,other,purchase,2013-10-07,"Status Indicator Sm",203,,Other
223071113,other,purchase,2013-10-07,"Status Indicator Lg",397,,Retail
223227467,"Distrib A",purchase,2013-10-07,"Status Indicator Md",295,,"Dist Partners"
222928927,DSG,purchase,2013-10-07,"Status Indicator Md",295,,Retail
223361557,other,purchase,2013-10-07,"Status Indicator Sm",203,,Retail
221403337,other,purchase,2013-10-07,"Dashboard + Monitor",502,,"Dist Partners"
222685035,other,purchase,2013-10-07,Dashboard,344,,"Dist Partners"
222712865,Amazon.com,purchase,2013-10-07,"Status Indicator Lg",397,,Retail
224790501,Amazon.com,purchase,2013-10-08,"Status Indicator Md",295,,Retail
219853965,other,purchase,2013-10-08,"Dashboard + Monitor",502,,"Dist Partners"
222890471,"Flagship Stores",purchase,2013-10-08,"Status Indicator Sm",203,,"Holographic Commerce"
222917289,other,purchase,2013-10-08,"Status Indicator Sm",203,,"Dist Partners"
223251755,other,purchase,2013-10-08,"Status Indicator Md",295,,"Dist Partners"
223151061,Cambridge,purchase,2013-10-08,Dashboard,344,,Retail
222772067,Amazon.com,purchase,2013-10-08,Alarm,699,,Retail
223637327,"Best Buy",purchase,2013-10-08,"Status Indicator Md",295,,Retail
219853965,other,purchase,2013-10-08,"Dashboard + Monitor",502,,"Dist Partners"
222638483,other,purchase,2013-10-08,"Dashboard + Monitor",502,,"Dist Partners"
222500345,Amazon.com,purchase,2013-10-08,"Launch Button",699,,Retail
