user_id,dist_channel,BaseStation,LaunchButton,StatusIndicatorSm,StatusIndicatorLg,StatusIndicatorMd,Dashboard,Alarm,DashboardMonitor,SignalAmplifier,SpyCamera,Remote,CouponCode1,CouponCode2,CouponCode3
218545449,Retail,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218565183,Retail,0,1,2,0,0,0,1,0,0,0,0,0,0,0
218566195,"Holographic Commerce",0,0,0,0,0,0,0,2,0,0,0,0,0,0
218566195,Online,0,0,0,0,0,0,1,0,0,0,0,0,0,0
218567207,Retail,0,1,1,0,0,0,0,0,0,0,0,0,0,0
218568725,"Dist Partners",0,0,0,0,0,1,0,0,0,0,0,0,0,0
218583399,Retail,0,0,0,0,0,0,0,1,0,0,0,0,0,0
218583905,"Dist Partners",0,1,0,2,0,0,0,0,0,0,0,0,1,0
218586435,"Dist Partners",0,0,1,0,0,0,0,0,0,0,0,0,0,0
218586435,Retail,0,0,0,0,0,0,1,0,0,0,0,0,0,0
218590483,Retail,0,0,0,1,0,0,0,0,0,0,0,0,0,0
218594025,"Holographic Commerce",0,0,0,1,0,0,0,0,0,0,0,0,0,0
218600097,Retail,0,0,0,0,0,1,0,0,0,0,0,0,0,0
218610723,"Holographic Commerce",0,1,0,0,0,0,1,1,1,0,0,0,0,0
218613253,"Holographic Commerce",0,1,0,1,2,0,0,0,0,0,0,0,0,0
218620337,"Dist Partners",0,0,0,1,0,0,0,0,0,0,0,0,0,0
218632987,"Holographic Commerce",0,0,1,0,0,0,0,0,0,0,0,0,0,0
218633493,"Holographic Commerce",0,0,3,0,0,0,0,0,0,0,0,0,0,0
218633493,Retail,0,0,0,0,0,0,0,1,0,0,0,0,0,0
218638047,"Holographic Commerce",0,1,0,0,0,0,1,0,0,0,0,0,0,0
218639565,"Dist Partners",0,1,0,0,0,0,0,0,0,0,0,0,0,0
218644625,"Holographic Commerce",0,0,0,0,0,0,0,1,0,0,0,0,0,0
218645637,Other,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218649179,Retail,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218661829,"Holographic Commerce",0,1,2,0,0,0,0,0,0,0,0,0,0,0
218661829,Retail,0,0,0,0,1,0,0,0,0,0,0,0,0,0
218670937,"Dist Partners",0,1,0,2,2,0,0,0,0,0,0,0,0,0
218670937,"Holographic Commerce",0,0,0,0,0,0,0,1,0,0,0,0,0,0
218674479,"Holographic Commerce",0,0,0,0,0,0,1,0,0,0,0,0,0,0
218674479,Retail,0,0,2,1,0,0,0,0,0,0,0,0,0,0
218676503,"Dist Partners",0,0,0,0,0,0,0,0,1,0,0,0,0,0
218681057,"Dist Partners",0,1,2,0,0,0,1,0,0,0,0,0,0,0
218751897,"Dist Partners",0,0,0,0,0,1,0,0,0,0,0,0,0,0
218758475,"Dist Partners",0,1,1,0,2,0,0,0,0,0,0,0,0,0
218762523,"Dist Partners",0,2,1,0,0,0,2,0,0,0,0,0,0,0
218762523,"Holographic Commerce",0,0,1,0,0,0,0,0,1,0,0,0,0,0
218763029,"Holographic Commerce",0,0,3,0,0,0,0,0,0,0,0,0,0,0
218763029,Online,0,0,2,0,0,0,0,0,0,0,0,0,0,0
218770113,"Dist Partners",0,0,0,0,1,0,0,0,0,0,0,0,0,0
218773149,"Holographic Commerce",0,0,1,0,0,0,0,0,0,0,0,0,0,0
218786305,"Dist Partners",0,0,1,0,0,0,0,0,0,0,0,0,0,0
218786811,"Dist Partners",0,1,1,1,2,0,0,0,0,0,0,0,0,0
218786811,"Holographic Commerce",0,1,1,1,0,0,0,0,0,1,0,0,0,0
218795919,"Dist Partners",0,0,0,0,1,0,0,0,0,0,0,0,0,0
218795919,"Holographic Commerce",0,0,1,0,0,0,0,0,0,0,0,0,0,0
218807051,"Dist Partners",0,0,0,1,0,0,0,0,0,0,0,0,0,0
218817677,"Dist Partners",0,1,0,0,0,1,0,5,0,0,0,0,0,0
218817677,"Holographic Commerce",0,0,0,0,0,0,0,1,0,0,0,0,0,0
218817677,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0
218831845,"Dist Partners",0,0,1,0,0,0,0,0,0,0,0,0,0,0
218835387,"Dist Partners",0,0,0,0,1,0,0,1,0,0,0,0,0,0
218835893,"Dist Partners",0,0,1,0,0,0,0,0,0,0,0,0,0,0
218837917,Retail,0,1,0,0,1,0,0,0,0,0,0,0,0,0
218862205,Online,0,0,0,1,2,0,0,0,0,0,0,0,0,0
218873337,"Dist Partners",0,0,0,1,0,0,0,0,0,0,0,0,0,0
218873337,Online,0,1,0,1,0,0,0,0,0,0,0,0,0,0
218880421,"Dist Partners",0,0,1,0,0,0,1,0,0,0,0,0,0,0
218882445,"Dist Partners",0,0,1,0,0,0,0,0,0,1,0,0,0,0
218882445,"Holographic Commerce",0,0,1,0,0,0,0,0,0,0,0,0,0,0
218892059,"Dist Partners",0,0,0,0,0,1,0,0,1,0,0,0,0,0
218892565,"Dist Partners",0,0,1,0,2,0,0,0,0,0,0,0,0,0
218905215,"Holographic Commerce",0,0,0,0,0,0,0,0,1,0,0,0,0,0
218905215,Retail,0,0,4,0,0,0,0,0,0,0,0,0,0,0
218907745,"Dist Partners",0,0,0,0,2,0,0,0,0,0,0,0,0,0
218912299,"Dist Partners",0,0,0,0,0,5,0,8,0,0,0,0,0,0
218912805,"Dist Partners",0,0,0,0,0,0,0,3,0,0,0,0,0,0
218913817,"Dist Partners",0,0,2,0,0,0,0,0,0,0,0,0,0,0
218917359,"Dist Partners",0,0,0,0,0,3,0,0,0,0,0,0,0,0
218917359,"Holographic Commerce",0,0,0,0,0,4,0,0,0,0,0,0,0,0
218918371,"Dist Partners",0,0,1,0,2,0,0,0,0,0,0,0,0,0
218918371,"Holographic Commerce",0,0,1,0,0,0,0,0,0,0,0,0,0,0
218931527,Retail,0,1,0,0,0,0,0,0,0,0,0,0,0,0
218942153,Retail,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218944177,"Dist Partners",0,0,0,1,1,1,0,0,0,0,0,0,0,0
218949743,Online,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218949743,Other,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218953285,"Dist Partners",0,0,0,0,1,0,0,0,0,0,0,0,0,0
218960875,"Holographic Commerce",0,0,1,0,0,0,0,0,0,0,0,0,0,0
218960875,Retail,0,0,0,1,1,0,0,0,1,0,0,0,0,0
218964923,"Dist Partners",0,0,1,0,0,0,0,1,0,0,0,0,0,0
