,user_id,action_type,time_stamp,dealer,coupon_code,dist_channel,item_name,item_price,purch_count
46377,218545449,purchase,2014-11-21 00:00:00,Southern,,Retail,Status Indicator Sm,203,1
28626,218565183,purchase,2013-05-28 00:00:00,Cambridge,,Retail,Alarm,699,1
28080,218565183,purchase,2013-06-17 00:00:00,Cambridge,,Retail,Launch Button,699,2
50936,218565183,purchase,2014-10-14 00:00:00,Target,,Retail,Status Indicator Sm,203,3
50937,218565183,purchase,2014-10-28 00:00:00,Target,,Retail,Status Indicator Sm,203,4
28633,218566195,purchase,2013-01-03 00:00:00,online,,Online,Alarm,699,1
28354,218566195,purchase,2014-07-10 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502,2
24238,218566195,purchase,2014-09-12 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502,3
46605,218567207,purchase,2014-10-17 00:00:00,Best Buy,,Retail,Status Indicator Sm,203,1
41461,218567207,purchase,2014-11-04 00:00:00,Best Buy,,Retail,Launch Button,699,2
37770,218568219,purchase,2014-01-22 00:00:00,Amazon.com,,,Status Indicator Sm,203,1
28032,218568219,purchase,2014-07-02 00:00:00,Flagship Stores,,,Status Indicator Md,295,2
38688,218568725,purchase,2013-02-04 00:00:00,other,,Dist Partners,Dashboard,344,1
34118,218568725,purchase,2014-04-29 00:00:00,Flagship Stores,,Holographic Commerce,Base Station,47,2
34119,218568725,purchase,2014-06-19 00:00:00,Flagship Stores,,Holographic Commerce,Base Station,47,3
34643,218581881,purchase,2013-12-10 00:00:00,other,,,Launch Button,699,1
38347,218583399,purchase,2013-01-31 00:00:00,Apley,,Retail,Dashboard + Monitor,502,1
24750,218583905,purchase,2014-08-15 00:00:00,other,,Dist Partners,Status Indicator Lg,397,1
26236,218583905,purchase,2014-08-15 00:00:00,other,,Dist Partners,Base Station,47,2
24751,218583905,purchase,2014-10-15 00:00:00,other,code2,Dist Partners,Status Indicator Lg,397,3
45314,218583905,purchase,2014-10-23 00:00:00,other,,Dist Partners,Launch Button,699,4
31359,218584411,purchase,2013-10-18 00:00:00,online,,,Dashboard,344,1
31360,218584411,purchase,2013-10-18 00:00:00,online,,,Status Indicator Md,295,2
31361,218584411,purchase,2013-10-18 00:00:00,online,,,Status Indicator Sm,203,3
31362,218584411,purchase,2013-10-18 00:00:00,online,,,Base Station,47,4
28630,218586435,purchase,2014-01-16 00:00:00,Cambridge,,Retail,Alarm,699,1
50703,218586435,purchase,2014-12-12 00:00:00,other,,Dist Partners,Status Indicator Sm,203,2
42219,218590483,purchase,2014-12-09 00:00:00,Amazon.com,,Retail,Status Indicator Lg,397,1
41086,218590989,purchase,2013-12-30 00:00:00,online,,,Status Indicator Sm,203,1
37705,218592507,purchase,2014-07-11 00:00:00,Flagship Stores,,,Status Indicator Lg,397,1
37771,218593519,purchase,2013-05-29 00:00:00,Amazon.com,,,Status Indicator Md,295,1
32324,218594025,purchase,2014-08-10 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Lg,397,1
33746,218594025,purchase,2014-08-10 00:00:00,Flagship Stores,,Holographic Commerce,Base Station,47,2
41865,218600097,purchase,2014-10-28 00:00:00,Best Buy,,Retail,Dashboard,344,1
38543,218610723,purchase,2014-08-14 00:00:00,Flagship Stores,,Holographic Commerce,Alarm,699,1
38816,218610723,purchase,2014-09-11 00:00:00,Flagship Stores,,Holographic Commerce,Signal Amplifier,98,2
38155,218610723,purchase,2014-09-25 00:00:00,Flagship Stores,,Holographic Commerce,Launch Button,699,3
28554,218610723,purchase,2014-10-10 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502,4
43283,218613253,purchase,2014-05-16 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Md,295,1
36857,218613253,purchase,2014-05-29 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Md,295,2
41334,218613253,purchase,2014-08-07 00:00:00,Flagship Stores,,Holographic Commerce,Launch Button,699,3
42112,218613253,purchase,2014-08-29 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Lg,397,4
32402,218620337,purchase,2013-07-05 00:00:00,other,,Dist Partners,Status Indicator Lg,397,1
34418,218627927,purchase,2014-05-07 00:00:00,Flagship Stores,,,Dashboard,344,1
29991,218632987,purchase,2014-08-29 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,1
39624,218633493,purchase,2014-04-17 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,1
26202,218633493,purchase,2014-05-02 00:00:00,Flagship Stores,,Holographic Commerce,Base Station,47,2
39623,218633493,purchase,2014-05-19 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,3
25155,218633493,purchase,2014-06-18 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,4
50269,218633493,purchase,2015-03-30 00:00:00,Amazon.com,,Retail,Dashboard + Monitor,502,5
27865,218636023,purchase,2014-02-03 00:00:00,other,,,Status Indicator Lg,397,1
31560,218638047,purchase,2014-08-11 00:00:00,Flagship Stores,,Holographic Commerce,Launch Button,699,1
28699,218638047,purchase,2014-08-18 00:00:00,Flagship Stores,,Holographic Commerce,Alarm,699,2
38036,218639565,purchase,2013-03-04 00:00:00,other,,Dist Partners,Launch Button,699,1
31084,218641083,purchase,2013-11-18 00:00:00,DSG,,,Base Station,47,1
31911,218644625,purchase,2014-07-09 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502,1
46551,218645637,purchase,2014-09-29 00:00:00,other,,Other,Status Indicator Sm,203,1
41087,218646649,purchase,2013-12-03 00:00:00,other,,,Launch Button,699,1
40760,218649179,purchase,2013-07-19 00:00:00,Computer Discounter,,Dist Partners,Base Station,47,1
40759,218649179,purchase,2013-10-25 00:00:00,Apley,,Retail,Base Station,47,2
25350,218649179,purchase,2014-11-13 00:00:00,Apley,,Retail,Status Indicator Sm,203,3
44520,218651709,purchase,2014-06-23 00:00:00,Flagship Stores,,,Status Indicator Md,295,1
34344,218660311,purchase,2013-04-23 00:00:00,Amazon.com,,,Dashboard,344,1
34341,218660311,purchase,2013-07-29 00:00:00,Amazon.com,,,Dashboard,344,2
40445,218661829,purchase,2014-04-09 00:00:00,Flagship Stores,,Holographic Commerce,Base Station,47,1
39250,218661829,purchase,2014-04-29 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,2
39251,218661829,purchase,2014-04-29 00:00:00,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203,3
41274,218661829,purchase,2014-05-19 00:00:00,Flagship Stores,,Holographic Commerce,Launch Button,699,4
51021,218661829,purchase,2014-12-30 00:00:00,Amazon.com,,Retail,Status Indicator Md,295,5
31171,218662335,purchase,2014-05-21 00:00:00,Flagship Stores,,,Dashboard + Monitor,502,1
36686,218670937,purchase,2013-08-26 00:00:00,other,,Dist Partners,Status Indicator Md,295,1
34735,218670937,purchase,2013-11-04 00:00:00,other,,Dist Partners,Launch Button,699,2
35644,218670937,purchase,2013-11-04 00:00:00,other,,Dist Partners,Status Indicator Lg,397,3
35643,218670937,purchase,2013-11-05 00:00:00,other,,Dist Partners,Status Indicator Lg,397,4
36685,218670937,purchase,2013-11-05 00:00:00,other,,Dist Partners,Status Indicator Md,295,5
31701,218670937,purchase,2014-05-22 00:00:00,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502,6
43921,218673973,purchase,2014-12-03 00:00:00,Amazon.com,,Retail,Base Station,47,1
36250,218674479,purchase,2013-09-30 00:00:00,Amazon.com,,Retail,Status Indicator Sm,203,1
36251,218674479,purchase,2013-09-30 00:00:00,Amazon.com,,Retail,Status Indicator Sm,203,2
24338,218674479,purchase,2014-09-22 00:00:00,Flagship Stores,,Holographic Commerce,Alarm,699,3
42191,218674479,purchase,2014-10-14 00:00:00,Amazon.com,,Retail,Status Indicator Lg,397,4
50488,218676503,purchase,2014-11-12 00:00:00,Thayer,,Dist Partners,Signal Amplifier,98,1
31974,218681057,purchase,2013-04-11 00:00:00,Electronic Exp,,Dist Partners,Alarm,699,1
31466,218681057,purchase,2013-05-07 00:00:00,Electronic Exp,,Dist Partners,Launch Button,699,2
32856,218681057,purchase,2013-10-11 00:00:00,Electronic Exp,,Dist Partners,Status Indicator Sm,203,3
50845,218681057,purchase,2014-11-18 00:00:00,Electronic Exp,,Dist Partners,Status Indicator Sm,203,4
34382,218751391,purchase,2013-10-22 00:00:00,Amazon.com,,,Dashboard,344,1
32121,218751897,purchase,2014-03-17 00:00:00,Computer Discounter,,Dist Partners,Dashboard,344,1
31392,218758475,purchase,2013-02-15 00:00:00,other,,Dist Partners,Launch Button,699,1
33402,218758475,purchase,2013-07-09 00:00:00,other,,Dist Partners,Status Indicator Md,295,2
33403,218758475,purchase,2013-07-09 00:00:00,other,,Dist Partners,Status Indicator Md,295,3
33794,218758475,purchase,2013-08-21 00:00:00,other,,Dist Partners,Base Station,47,4
