,user_id,action_type,time_stamp,dealer,coupon_code,dist_channel,item_name,item_price
46377,218545449,purchase,2014-11-21,Southern,,Retail,Status Indicator Sm,203
28626,218565183,purchase,2013-05-28,Cambridge,,Retail,Alarm,699
28080,218565183,purchase,2013-06-17,Cambridge,,Retail,Launch Button,699
50936,218565183,purchase,2014-10-14,Target,,Retail,Status Indicator Sm,203
50937,218565183,purchase,2014-10-28,Target,,Retail,Status Indicator Sm,203
28633,218566195,purchase,2013-01-03,online,,Online,Alarm,699
28354,218566195,purchase,2014-07-10,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502
24238,218566195,purchase,2014-09-12,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502
46605,218567207,purchase,2014-10-17,Best Buy,,Retail,Status Indicator Sm,203
41461,218567207,purchase,2014-11-04,Best Buy,,Retail,Launch Button,699
37770,218568219,purchase,2014-01-22,Amazon.com,,,Status Indicator Sm,203
28032,218568219,purchase,2014-07-02,Flagship Stores,,,Status Indicator Md,295
38688,218568725,purchase,2013-02-04,other,,Dist Partners,Dashboard,344
34118,218568725,purchase,2014-04-29,Flagship Stores,,Holographic Commerce,Base Station,47
34119,218568725,purchase,2014-06-19,Flagship Stores,,Holographic Commerce,Base Station,47
34643,218581881,purchase,2013-12-10,other,,,Launch Button,699
38347,218583399,purchase,2013-01-31,Apley,,Retail,Dashboard + Monitor,502
24750,218583905,purchase,2014-08-15,other,,Dist Partners,Status Indicator Lg,397
26236,218583905,purchase,2014-08-15,other,,Dist Partners,Base Station,47
24751,218583905,purchase,2014-10-15,other,code2,Dist Partners,Status Indicator Lg,397
45314,218583905,purchase,2014-10-23,other,,Dist Partners,Launch Button,699
31359,218584411,purchase,2013-10-18,online,,,Dashboard,344
31360,218584411,purchase,2013-10-18,online,,,Status Indicator Md,295
31361,218584411,purchase,2013-10-18,online,,,Status Indicator Sm,203
31362,218584411,purchase,2013-10-18,online,,,Base Station,47
28630,218586435,purchase,2014-01-16,Cambridge,,Retail,Alarm,699
50703,218586435,purchase,2014-12-12,other,,Dist Partners,Status Indicator Sm,203
42219,218590483,purchase,2014-12-09,Amazon.com,,Retail,Status Indicator Lg,397
41086,218590989,purchase,2013-12-30,online,,,Status Indicator Sm,203
37705,218592507,purchase,2014-07-11,Flagship Stores,,,Status Indicator Lg,397
37771,218593519,purchase,2013-05-29,Amazon.com,,,Status Indicator Md,295
32324,218594025,purchase,2014-08-10,Flagship Stores,,Holographic Commerce,Status Indicator Lg,397
33746,218594025,purchase,2014-08-10,Flagship Stores,,Holographic Commerce,Base Station,47
41865,218600097,purchase,2014-10-28,Best Buy,,Retail,Dashboard,344
38543,218610723,purchase,2014-08-14,Flagship Stores,,Holographic Commerce,Alarm,699
38816,218610723,purchase,2014-09-11,Flagship Stores,,Holographic Commerce,Signal Amplifier,98
38155,218610723,purchase,2014-09-25,Flagship Stores,,Holographic Commerce,Launch Button,699
28554,218610723,purchase,2014-10-10,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502
43283,218613253,purchase,2014-05-16,Flagship Stores,,Holographic Commerce,Status Indicator Md,295
36857,218613253,purchase,2014-05-29,Flagship Stores,,Holographic Commerce,Status Indicator Md,295
41334,218613253,purchase,2014-08-07,Flagship Stores,,Holographic Commerce,Launch Button,699
42112,218613253,purchase,2014-08-29,Flagship Stores,,Holographic Commerce,Status Indicator Lg,397
32402,218620337,purchase,2013-07-05,other,,Dist Partners,Status Indicator Lg,397
34418,218627927,purchase,2014-05-07,Flagship Stores,,,Dashboard,344
29991,218632987,purchase,2014-08-29,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
39624,218633493,purchase,2014-04-17,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
26202,218633493,purchase,2014-05-02,Flagship Stores,,Holographic Commerce,Base Station,47
39623,218633493,purchase,2014-05-19,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
25155,218633493,purchase,2014-06-18,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
50269,218633493,purchase,2015-03-30,Amazon.com,,Retail,Dashboard + Monitor,502
27865,218636023,purchase,2014-02-03,other,,,Status Indicator Lg,397
31560,218638047,purchase,2014-08-11,Flagship Stores,,Holographic Commerce,Launch Button,699
28699,218638047,purchase,2014-08-18,Flagship Stores,,Holographic Commerce,Alarm,699
38036,218639565,purchase,2013-03-04,other,,Dist Partners,Launch Button,699
31084,218641083,purchase,2013-11-18,DSG,,,Base Station,47
31911,218644625,purchase,2014-07-09,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502
46551,218645637,purchase,2014-09-29,other,,Other,Status Indicator Sm,203
41087,218646649,purchase,2013-12-03,other,,,Launch Button,699
40760,218649179,purchase,2013-07-19,Computer Discounter,,Dist Partners,Base Station,47
40759,218649179,purchase,2013-10-25,Apley,,Retail,Base Station,47
25350,218649179,purchase,2014-11-13,Apley,,Retail,Status Indicator Sm,203
44520,218651709,purchase,2014-06-23,Flagship Stores,,,Status Indicator Md,295
34344,218660311,purchase,2013-04-23,Amazon.com,,,Dashboard,344
34341,218660311,purchase,2013-07-29,Amazon.com,,,Dashboard,344
40445,218661829,purchase,2014-04-09,Flagship Stores,,Holographic Commerce,Base Station,47
39250,218661829,purchase,2014-04-29,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
39251,218661829,purchase,2014-04-29,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
41274,218661829,purchase,2014-05-19,Flagship Stores,,Holographic Commerce,Launch Button,699
51021,218661829,purchase,2014-12-30,Amazon.com,,Retail,Status Indicator Md,295
31171,218662335,purchase,2014-05-21,Flagship Stores,,,Dashboard + Monitor,502
36686,218670937,purchase,2013-08-26,other,,Dist Partners,Status Indicator Md,295
34735,218670937,purchase,2013-11-04,other,,Dist Partners,Launch Button,699
35644,218670937,purchase,2013-11-04,other,,Dist Partners,Status Indicator Lg,397
35643,218670937,purchase,2013-11-05,other,,Dist Partners,Status Indicator Lg,397
36685,218670937,purchase,2013-11-05,other,,Dist Partners,Status Indicator Md,295
31701,218670937,purchase,2014-05-22,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502
43921,218673973,purchase,2014-12-03,Amazon.com,,Retail,Base Station,47
36250,218674479,purchase,2013-09-30,Amazon.com,,Retail,Status Indicator Sm,203
36251,218674479,purchase,2013-09-30,Amazon.com,,Retail,Status Indicator Sm,203
24338,218674479,purchase,2014-09-22,Flagship Stores,,Holographic Commerce,Alarm,699
42191,218674479,purchase,2014-10-14,Amazon.com,,Retail,Status Indicator Lg,397
50488,218676503,purchase,2014-11-12,Thayer,,Dist Partners,Signal Amplifier,98
31974,218681057,purchase,2013-04-11,Electronic Exp,,Dist Partners,Alarm,699
31466,218681057,purchase,2013-05-07,Electronic Exp,,Dist Partners,Launch Button,699
32856,218681057,purchase,2013-10-11,Electronic Exp,,Dist Partners,Status Indicator Sm,203
50845,218681057,purchase,2014-11-18,Electronic Exp,,Dist Partners,Status Indicator Sm,203
34382,218751391,purchase,2013-10-22,Amazon.com,,,Dashboard,344
32121,218751897,purchase,2014-03-17,Computer Discounter,,Dist Partners,Dashboard,344
31392,218758475,purchase,2013-02-15,other,,Dist Partners,Launch Button,699
33402,218758475,purchase,2013-07-09,other,,Dist Partners,Status Indicator Md,295
33403,218758475,purchase,2013-07-09,other,,Dist Partners,Status Indicator Md,295
33794,218758475,purchase,2013-08-21,other,,Dist Partners,Base Station,47
50944,218758475,purchase,2014-11-26,other,,Dist Partners,Status Indicator Sm,203
34426,218758981,purchase,2013-02-06,DSG,,,Base Station,47
31966,218762523,purchase,2013-01-11,online,,Dist Partners,Alarm,699
31967,218762523,purchase,2013-01-11,online,,Dist Partners,Alarm,699
31444,218762523,purchase,2013-02-15,online,,Dist Partners,Launch Button,699
31445,218762523,purchase,2013-05-21,online,,Dist Partners,Launch Button,699
32787,218762523,purchase,2014-03-07,Distrib B,,Dist Partners,Status Indicator Sm,203
42308,218762523,purchase,2014-04-03,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
35562,218762523,purchase,2014-10-01,Flagship Stores,,Holographic Commerce,Signal Amplifier,98
39213,218763029,purchase,2014-02-10,other,,Online,Status Indicator Sm,203
39231,218763029,purchase,2014-02-10,other,,Online,Status Indicator Sm,203
35979,218763029,purchase,2014-04-02,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
39232,218763029,purchase,2014-04-02,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
42303,218763029,purchase,2014-04-02,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
34474,218764041,purchase,2013-12-04,Distrib A,,,Base Station,47
34544,218764547,purchase,2013-06-21,other,,,Status Indicator Lg,397
34540,218764547,purchase,2014-02-20,other,,,Launch Button,699
34542,218764547,purchase,2014-02-20,other,,,Spy Camera,699
34543,218764547,purchase,2014-02-20,other,,,Launch Button,699
34545,218764547,purchase,2014-02-20,other,,,Dashboard + Monitor,502
34546,218764547,purchase,2014-02-20,other,,,Spy Camera,699
34547,218764547,purchase,2014-02-25,other,,,Status Indicator Sm,203
34541,218764547,purchase,2014-03-26,other,,,Dashboard + Monitor,502
34539,218764547,purchase,2014-05-20,Flagship Stores,,,Dashboard + Monitor,502
31215,218769607,purchase,2014-10-22,Flagship Stores,,,Signal Amplifier,98
46892,218770113,purchase,2014-12-12,other,,Dist Partners,Status Indicator Md,295
50921,218773149,purchase,2014-11-18,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
34428,218776691,purchase,2013-05-15,online,,,Status Indicator Lg,397
34429,218776691,purchase,2013-05-15,online,,,Base Station,47
34430,218776691,purchase,2013-05-15,online,,,Status Indicator Lg,397
43082,218786305,purchase,2014-10-24,other,,Dist Partners,Status Indicator Sm,203
32442,218786811,purchase,2013-04-09,online,,Dist Partners,Status Indicator Lg,397
33557,218786811,purchase,2013-04-09,online,,Dist Partners,Status Indicator Md,295
34074,218786811,purchase,2013-05-06,online,,Dist Partners,Base Station,47
33556,218786811,purchase,2013-05-28,online,,Dist Partners,Status Indicator Md,295
31490,218786811,purchase,2013-06-24,online,,Dist Partners,Launch Button,699
24763,218786811,purchase,2013-10-03,Flagship Stores,,Holographic Commerce,Status Indicator Lg,397
32932,218786811,purchase,2013-10-10,online,,Dist Partners,Status Indicator Sm,203
24058,218786811,purchase,2013-11-08,Flagship Stores,,Holographic Commerce,Launch Button,699
34075,218786811,purchase,2013-12-05,online,,Dist Partners,Base Station,47
24298,218786811,purchase,2014-02-04,Flagship Stores,,Holographic Commerce,Spy Camera,699
42456,218786811,purchase,2014-04-02,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
40638,218791365,purchase,2013-08-05,Amazon.com,,Retail,Base Station,47
34415,218791871,purchase,2014-01-24,Electronic Exp,,,Status Indicator Sm,203
37892,218791871,purchase,2014-04-02,Flagship Stores,,,Status Indicator Sm,203
34419,218791871,purchase,2014-06-04,Flagship Stores,,,Status Indicator Lg,397
34548,218791871,purchase,2014-07-23,Flagship Stores,,,Launch Button,699
41069,218795413,purchase,2014-05-19,Flagship Stores,,,Status Indicator Sm,203
40162,218795919,purchase,2013-07-08,Distrib B,,Dist Partners,Status Indicator Md,295
29692,218795919,purchase,2014-04-03,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
34369,218799461,purchase,2013-05-15,Amazon.com,,,Status Indicator Md,295
29125,218807051,purchase,2013-01-08,Computer Discounter,,Dist Partners,Status Indicator Lg,397
30826,218807051,purchase,2013-01-08,Computer Discounter,,Dist Partners,Base Station,47
31460,218817677,purchase,2013-02-15,Distrib B,,Dist Partners,Launch Button,699
32107,218817677,purchase,2013-07-11,Distrib B,,Dist Partners,Dashboard,344
31691,218817677,purchase,2013-08-26,Distrib B,,Dist Partners,Dashboard + Monitor,502
31693,218817677,purchase,2013-08-26,Distrib B,,Dist Partners,Dashboard + Monitor,502
31694,218817677,purchase,2013-08-26,Distrib B,,Dist Partners,Dashboard + Monitor,502
31695,218817677,purchase,2013-08-26,Distrib B,,Dist Partners,Dashboard + Monitor,502
31696,218817677,purchase,2013-08-26,Distrib B,,Dist Partners,Dashboard + Monitor,502
31692,218817677,purchase,2013-11-06,other,,Other,Dashboard + Monitor,502
28385,218817677,purchase,2014-04-03,Flagship Stores,,Holographic Commerce,Dashboard + Monitor,502
37779,218830327,purchase,2013-01-08,other,,,Dashboard + Monitor,502
37780,218830327,purchase,2013-01-08,other,,,Dashboard + Monitor,502
41195,218830833,purchase,2014-04-03,Flagship Stores,,,Status Indicator Lg,397
41075,218831339,purchase,2013-10-08,Amazon.com,,,Launch Button,699
41074,218831339,purchase,2013-12-18,online,,,Spy Camera,699
42463,218831845,purchase,2013-11-01,Distrib A,,Dist Partners,Status Indicator Sm,203
31103,218832857,purchase,2014-10-09,Flagship Stores,,,Status Indicator Sm,203
27759,218833363,purchase,2013-12-13,online,,,Status Indicator Lg,397
27888,218833363,purchase,2013-12-13,online,,,Status Indicator Lg,397
27889,218833363,purchase,2013-12-13,online,,,Base Station,47
31832,218835387,purchase,2013-04-11,online,,Dist Partners,Dashboard + Monitor,502
50984,218835387,purchase,2014-12-08,online,,Dist Partners,Status Indicator Md,295
46643,218835893,purchase,2014-09-26,online,,Dist Partners,Status Indicator Sm,203
37236,218837917,purchase,2013-03-11,other,,Online,Base Station,47
36688,218837917,purchase,2013-11-15,Southern,,Retail,Status Indicator Md,295
34736,218837917,purchase,2013-12-18,Southern,,Retail,Launch Button,699
27704,218839435,purchase,2014-05-17,Flagship Stores,,,Remote,344
34406,218842471,purchase,2013-04-29,other,,,Dashboard,344
34407,218842471,purchase,2013-09-16,other,,,Base Station,47
27890,218848543,purchase,2013-10-18,Cambridge,,,Dashboard + Monitor,502
37844,218850567,purchase,2013-07-09,other,,,Dashboard + Monitor,502
37845,218850567,purchase,2013-07-09,other,,,Dashboard + Monitor,502
34581,218850567,purchase,2014-06-06,Flagship Stores,,,Base Station,47
27866,218853603,purchase,2013-09-06,other,,,Status Indicator Lg,397
34343,218857651,purchase,2013-03-28,Best Buy,,,Status Indicator Md,295
34342,218857651,purchase,2013-04-11,Best Buy,,,Status Indicator Md,295
36797,218862205,purchase,2013-03-14,online,,Online,Status Indicator Md,295
38964,218862205,purchase,2013-03-14,online,,Online,Status Indicator Lg,397
40719,218862205,purchase,2013-03-14,online,,Online,Base Station,47
40158,218862205,purchase,2013-10-21,online,,Online,Status Indicator Md,295
34354,218867771,purchase,2013-12-04,other,,,Base Station,47
34588,218867771,purchase,2013-12-04,other,,,Base Station,47
34644,218870301,purchase,2013-03-20,other,,,Base Station,47
32403,218873337,purchase,2013-09-30,other,,Dist Partners,Status Indicator Lg,397
41410,218873337,purchase,2014-12-13,online,,Online,Launch Button,699
42160,218873337,purchase,2014-12-13,online,,Online,Status Indicator Lg,397
41107,218874349,purchase,2013-11-12,Distrib A,,,Status Indicator Sm,203
50618,218880421,purchase,2014-04-02,online,,Dist Partners,Status Indicator Sm,203
50336,218880421,purchase,2014-06-06,online,,Dist Partners,Alarm,699
38445,218882445,purchase,2013-01-08,Distrib A,,Dist Partners,Spy Camera,699
39500,218882445,purchase,2013-10-09,Distrib A,,Dist Partners,Status Indicator Sm,203
29672,218882445,purchase,2014-05-09,Flagship Stores,,Holographic Commerce,Status Indicator Sm,203
34531,218891047,purchase,2014-06-25,Flagship Stores,,,Dashboard,344
37731,218891047,purchase,2014-06-25,Flagship Stores,,,Dashboard,344
37816,218891047,purchase,2014-10-02,Flagship Stores,,,Dashboard,344
45742,218892059,purchase,2014-11-24,other,,Dist Partners,Signal Amplifier,98
45658,218892059,purchase,2015-01-26,other,,Dist Partners,Dashboard,344
39447,218892565,purchase,2013-10-21,other,,Dist Partners,Status Indicator Sm,203
40106,218892565,purchase,2014-01-31,other,,Dist Partners,Status Indicator Md,295
40107,218892565,purchase,2014-01-31,other,,Dist Partners,Status Indicator Md,295
37894,218895601,purchase,2014-05-19,Flagship Stores,,,Dashboard + Monitor,502
37715,218896107,purchase,2013-09-11,Distrib C,,,Launch Button,699
37716,218896107,purchase,2013-09-11,Distrib C,,,Launch Button,699
37713,218896107,purchase,2013-10-28,Distrib C,,,Status Indicator Lg,397
37714,218896107,purchase,2013-11-12,Distrib C,,,Alarm,699
37904,218904709,purchase,2013-09-10,other,,,Status Indicator Lg,397
32628,218905215,purchase,2013-09-13,Target,,Retail,Status Indicator Sm,203
32629,218905215,purchase,2013-09-23,Target,,Retail,Status Indicator Sm,203
32626,218905215,purchase,2013-11-26,Target,,Retail,Status Indicator Sm,203
32627,218905215,purchase,2013-11-26,Target,,Retail,Status Indicator Sm,203
24542,218905215,purchase,2014-10-15,Flagship Stores,,Holographic Commerce,Signal Amplifier,98
40089,218907745,purchase,2013-01-25,Computer Discounter,,Dist Partners,Status Indicator Md,295
40122,218907745,purchase,2013-01-25,Computer Discounter,,Dist Partners,Status Indicator Md,295
27851,218908757,purchase,2013-04-23,Flagship Stores,,,Status Indicator Lg,397
41095,218909263,purchase,2014-07-18,Flagship Stores,,,Dashboard,344
38348,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard + Monitor,502
38349,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard + Monitor,502
38350,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard + Monitor,502
38351,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard + Monitor,502
38352,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard + Monitor,502
38353,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard + Monitor,502
38369,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard + Monitor,502
38370,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard + Monitor,502
38710,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard,344
38711,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard,344
38712,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard,344
38722,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard,344
38723,218912299,purchase,2013-04-09,other,,Dist Partners,Dashboard,344
38318,218912805,purchase,2014-02-03,other,,Dist Partners,Dashboard + Monitor,502
38319,218912805,purchase,2014-02-03,other,,Dist Partners,Dashboard + Monitor,502
38320,218912805,purchase,2014-02-03,other,,Dist Partners,Dashboard + Monitor,502
34587,218913311,purchase,2013-02-05,Distrib A,,,Remote,344
50823,218913817,purchase,2014-10-28,other,,Dist Partners,Status Indicator Sm,203
50822,218913817,purchase,2015-01-23,other,,Dist Partners,Status Indicator Sm,203
31094,218914323,purchase,2013-07-08,other,,,Status Indicator Lg,397
38717,218917359,purchase,2013-07-30,other,,Dist Partners,Dashboard,344
38715,218917359,purchase,2014-03-14,other,,Dist Partners,Dashboard,344
38716,218917359,purchase,2014-03-14,other,,Dist Partners,Dashboard,344
24476,218917359,purchase,2014-05-24,Flagship Stores,,Holographic Commerce,Dashboard,344
28866,218917359,purchase,2014-05-24,Flagship Stores,,Holographic Commerce,Dashboard,344
28867,218917359,purchase,2014-05-24,Flagship Stores,,Holographic Commerce,Dashboard,344
28868,218917359,purchase,2014-05-24,Flagship Stores,,Holographic Commerce,Dashboard,344
47113,218918371,purchase,2014-09-26,online,,Dist Partners,Status Indicator Md,295
47114,218918371,purchase,2014-09-26,online,,Dist Partners,Status Indicator Md,295
