user_id,UserSalesTotal,BaseStation,LaunchButton,StatusIndicatorSm,StatusIndicatorLg,StatusIndicatorMd,Dashboard,Alarm,DashboardMonitor,SignalAmplifier,SpyCamera,Remote,CouponCode1,CouponCode2,CouponCode3
220916059,57131,0,4,4,3,9,42,2,66,0,1,0,0,1,0
221861773,14994,0,1,0,1,0,1,0,27,0,0,0,0,0,0
222317679,10689,0,0,0,1,0,27,0,2,0,0,0,0,0,0
222180047,10627,0,2,1,0,1,0,0,16,0,1,0,0,0,0
220101399,9760,0,0,2,0,18,1,0,6,0,0,2,0,0,0
219582243,9472,0,3,2,1,1,6,0,7,0,1,0,0,0,0
222611665,8712,0,3,0,0,0,0,3,9,0,0,0,0,0,0
223979889,8247,0,1,0,0,4,1,0,12,0,0,0,0,0,0
221941215,7530,0,0,0,0,0,0,0,15,0,0,0,0,0,0
220204623,7106,0,1,0,0,0,2,1,10,0,0,0,0,0,0
220636241,6982,0,0,0,0,0,13,0,5,0,0,0,0,0,0
221930083,6968,0,0,1,1,0,1,0,12,0,0,0,0,0,0
224580005,6751,0,1,0,0,0,3,0,10,0,0,0,0,0,0
224297151,6704,0,3,0,0,0,0,3,5,0,0,0,0,0,0
221897193,6554,0,0,0,0,0,3,0,11,0,0,0,0,0,0
222567137,6491,0,2,1,0,0,4,0,7,0,0,0,0,0,0
223048343,6418,0,1,0,0,0,0,1,10,0,0,0,0,0,0
226000853,5866,0,0,0,0,0,1,0,11,0,0,0,0,0,0
218912299,5736,0,0,0,0,0,5,0,8,0,0,0,0,0,0
222782693,5602,0,1,2,0,1,2,0,7,0,0,0,0,0,0
225145207,5550,0,0,0,0,0,3,0,9,0,0,0,0,0,0
219126843,5231,0,0,6,0,2,5,1,2,0,0,0,0,0,0
223556873,5190,0,3,2,0,2,0,0,0,0,3,0,0,0,0
223104509,5179,0,4,2,0,2,2,1,0,0,0,0,0,0,0
223580149,5115,0,2,1,0,0,0,0,7,0,0,0,0,0,0
221830907,5050,0,2,6,1,1,1,2,0,0,0,0,0,0,0
222248863,5048,0,0,0,0,0,1,0,8,0,0,2,0,0,0
