Project,Description,SF_Building,SF_true,Year,Center Number,JV Type,Region,dummy_tier,ACQ,CAP,CBK,CLT,CNT,CNX,COH,CON,COT,DES,DEV,DPT,DSH,DSX,DVH,DVX,ERT,FIN,GRP,LAB,LAD,LEA,LOH,LRC,MKT,OOC,OWR,PDH,PDV,PFE,PRO,REC,RET,SLS,STB,TAL,TBK,TBO,TCO,TCS,TWK,Grand_Total
3484,Konterra - JV,1091020,1,2017,10200,JVE,SE,Flagship,160.62,43.03,0,0,3.56,0,0,415.36,0,33.23,12.46,24.92,0,0,34.18,0,0,8.77,0,0,0.53,0,14.52,0,1.33,0,0,0,3.26,18.71,0,-37.37,-0.17,0,0,43.89,5.34,0,0.98,0,0,787.15
1087,Valley Fair - Predev,900000,1,2016,12297,JVE,NW,Flagship,0,42.52,0,0,3.33,0,0,511.83,0,11.25,7.04,6,0,0,21.84,0,-2.37,0,0,0,0.73,0,6.66,16.24,4.04,3.46,-0.03,-0.93,13.05,24.41,0,-2.62,-15.29,0,4.66,95.58,4.57,0.66,2.74,0,0,759.37
1279,Century City Redevelopment,610185,1,2015,12211,JVC,LA,Flagship,0,48.11,0,2.65,17.14,0,0,288.04,13.41,4.17,4.26,42.28,0,0,23.16,0.01,-20.65,3.05,0,5.06,1.02,0,5.99,114.86,11.45,27.14,0,0,20.32,4.22,8.32,-12.88,0.71,0.9,0,57.3,3.49,13.44,3.09,1.76,13.18,705
1070,Horton Plaza - Predev,425000,1,2017,12243,JVE,SD,Flagship,25.38,23.83,0,0.34,11.42,0,0,403.28,0,16.06,5.83,9.14,0,0,29.55,0,0,0,0,0,5.85,0,0,51.12,4.17,16.95,0,-2.63,26.83,5.42,0,-41.27,-16.65,0,7.01,101.96,6.94,0,2.28,0,0,692.81
3097,Topanga - Sears,385000,1,2016,12291,JVE,LA,Flagship,0.17,34.76,0,0,14.58,0,0,368.24,0,22.09,3.68,5.19,0,0,32.4,0,0,0,0,0,0.68,0,4.06,3.17,1.3,5.15,0,-0.16,4.82,25.78,0,-8.57,-2.64,0,3.41,51.39,0,0,2.6,0,0,572.1
3102,UTC Redevelopment Phase IIA,320739,1,2015,12293,JVE,SD,Flagship,0,59.22,1.02,0,9.33,0,0,374.1,13.6,11.78,6.4,1.42,0,0,58.91,0,0,4.17,0,5.22,1.66,0.57,15.68,20.41,10.28,6.59,0.52,0,-0.05,21.39,0,-33.04,0,0,0,55.61,3.76,0,5.75,1.42,10.26,665.98
1619,GSP - Exp Ph.2/Grand Scheme,250000,1,2018,12235,JVE,NE,Other,0,15.96,0,0,0,0,0,199.49,0,19.95,7.98,0,0,0,21.06,0,0,0,0,0,0,0,0,0,0,35.91,0,-0.16,9.01,31.92,0,0,-3.13,0,0,51.87,0,0,0,0,0,389.86
3331,UTC - Phase IIB,250000,1,2018,12293,JVE,SD,Flagship,0,21.56,0,0,15.08,0,0,410.89,0,27.24,7.67,0,0,0,35.35,0,0,7.62,0,0,0.73,0,2.1,2.65,1.89,2.23,0,-0.65,9.6,22.3,0,0,-11.77,0,3.61,114.72,0.94,0,3.77,0,0,677.53
1625,Mission Valley - Predev,238000,1,2017,12253,JVE,SD,Flagship,103.21,6.93,0,0,0,0,0,312.32,0,21.81,7.18,0,0,0,23,0,0,0,0,0,9.93,0,0,6.25,0.71,22.66,0,-0.71,18.85,14.45,0,0,-3.72,0,0,70.99,0,0,0.23,0,0,614.09
7004,UTC - Phase 2A,200000,1,2015,12359,JVE,SD,Flagship,0,94.98,1.64,0.39,15.45,0,0,-6.36,0,-9.15,14.18,2.28,0,0,101.48,0,0,6.69,0,0,2.75,2.2,25.15,32.74,17.24,12.93,0.86,0,0,84.96,0,-52.99,0,0,0,137.75,10.16,15.45,10.12,2.27,24.44,547.61
3124,UTC - Predev Residential,190097,1,2018,12362,JVE,SD,Flagship,0,41.71,0,0.87,4.96,0,0,473.86,0,22.86,0.99,0,0,0,0.06,0,0,7.17,0,0,0,0,0,1.86,2.03,22.72,0,-0.24,-1.46,45.68,0,0,-0.89,0,1.83,0,0,0,0,0,0,624.01
1295,Metreon - x,118132,1,2011,15200,WHO,NW,Other,410.6,6.76,-42.45,0,0,0.2,0,0.69,0,0,0,15.78,0,0.25,-0.29,0.34,0,1.97,4.61,0,0.12,0,0.98,0,1.84,0,0,0,-12.12,0,0,0,-10.37,4.05,0,17.78,-1.1,0.16,0,-1.46,1.67,400.01
1611,Plaza Bonita Ph2 Mervyn'sBox-x,69631,1,2009,12272,WHO,SD,Other,264.94,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,4.3,0,0.09,0,0,0,-0.26,0,0,0,0,0,0,0,0,0,0,13.4,1.31,0,0,0,0,284.01
7002,Santa Anita-RobMayXXI-Excl Lia,65793,1,2011,15200,WHO,LA,Other,285.6,-17.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,-4.82,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,0.79,-3.61,0.23,0.01,21.46,334.12
1370,Sunrise -Street Shops/Landmark,52436,1,2012,12290,WHO,NE,Other,8.05,6.73,0,0,0,0,0,0,0,0,2.36,0,0,0.07,19.23,-0.04,0,2.27,0,0,0.45,0,4.09,0,5.87,6.41,0,0,0,0,0,0,0,0,0,245.56,6.01,0,0,0,7.93,314.99
3158,Village at Westfield Topanga,52000,1,2014,12303,JVE,LA,Other,0,139.4,-18.36,1.32,0,0,0,125.73,0.13,4.71,0,0,0,0,55.63,0,0,46.17,0,0,2.02,0,6.29,0,0.18,2.78,1.69,0,0,6.58,0,-49.82,0,0,0,25.25,0.16,0,0.45,0,2.65,352.96
3310,Valley Fair Ph 1 Garage,51183,1,2015,12297,JVE,NW,Other,0,214.36,0,0,0,0,0,67.03,0,0.72,0.98,0,0,0,35.78,0,0,22.48,0,0,0,0,0,0,0.02,0,0.84,0,0,6.79,0,0,0,0,0,0,0,0,0,0,0,349
1391,Capital- Mervyn's Box-x,46249,1,2009,12209,WHO,NW,Other,199.44,0,0,0,0.02,0,0,5.15,0.3,0,0,0,0,0,0,0,0,1.06,0,0,0.3,0,2.1,0,0.24,0,0,0,0,0.38,0,0,0,0,0,66.19,2.52,0,1.3,0,0,279
1088,Vancouver Reno/Cinetopia - x,42854,1,2010,12298,WHO,NW,Other,236.84,0,-1.62,0,0,0.11,0,0.22,0,0,0,0,0,0.41,0,-0.2,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,27.21,1.58,0,0.66,0,23.77,290.02
1086,UTC - Rob May Redevelopmnt - x,40967,1,2011,12293,JVE,SD,Other,0,0,2.5,0.23,14.63,1.1,0,112.61,0,6.9,0,11.33,0,2.66,0,2.8,0,0,0,0,0.37,0,0.82,0,0,16.84,0.1,0,0,81.49,0,0.2,0,0,0,12.74,1.13,0,0,0,15.75,284.2
2098,Solano - Mervyn's - x,40141,1,2010,15200,WHO,NW,Other,239.01,0.64,0,0,2.92,0,0,0,0,0,0.17,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0.74,0,0,0,0,0.06,0,0,0,0,0,42.01,0.03,0,0,0,0,289.03
1178,Siesta Keys (Southgate),26462,1,2016,12287,JVE,SE,Other,0,0,0,0,0,0.78,0,185.65,13.5,0,0,0,0,0.68,0,-0.73,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,202.01
1083,South Shore Redevelopment,25235,1,2012,12285,WHO,NE,Other,0,0,0,1.08,0,1.26,0,-6.08,0,-0.22,1.34,12.35,0,0.77,0,1.05,0,7.14,0,0,0,0,0,0,0.33,0,0,0,0,0.14,15.78,0.02,0,0,0,156.77,0,0,0,0,72.53,264.26
1918,Trumbull-Dining Commons &Rev-x,22000,1,2009,12292,WHO,NE,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,301.82,0,0,0,0,0,309.24
1116,Countryside Theatre - x,20736,1,2010,12217,WHO,SE,Other,0,0,1.35,0.01,8.71,-0.03,0,0,0,0,0,27.35,0,-0.03,-7.48,0.67,0,0,-34.48,0,0.17,0,0,0,0,2.1,0,0,0,0,0,40.09,0,0.06,0,118.11,7.54,-1.3,0.45,0,47.71,211
3027,CenCity ParkStruc/Gelson/Valet,17499,1,2012,12211,WHO,LA,Other,0,130.45,0,0,0,0,0,0,0,0,0,0,0,0,119.07,0,0,0,0,0,0,0,0.01,0,0,12.63,0,0,0,41.27,1.03,0,0,0,0,0,0,0,0,0,0,304.46
